experiment_family,training_sequence,train_dataset_name,eval_dataset_name,experiment_id,prediction_mode,train_num_keypoints,shared_10_eval,lambda_hm,lambda_coord,heatmap_sigma,wing_w,wing_epsilon,n,num_seeds,metrics.sse_norm_mean,metrics.sse_norm_std,metrics.epe_norm_mean,metrics.epe_norm_std,metrics.pck_mean,metrics.pck_std
ablation,rhd,rhd,rhd,E1,fusion,21,True,1.0,1.0,2.0,10.0,1.0,5,5,0.1450524433966606,0.02901472271663177,0.07063742460861115,0.0009414225464702224,0.9167006547171838,0.011729800359570636
ablation,rhd,rhd,rhd,E1,heatmap,21,False,1.0,1.0,2.0,10.0,1.0,5,5,0.27106654553119736,0.017256102684075104,0.08875959494912966,0.0157470747621733,0.9444219586546098,0.003030773332990081
ablation,rhd,rhd,rhd,E2,coord,21,False,1.0,1.0,2.0,10.0,4.0,5,5,0.3177660608920883,0.011547744060658591,0.09007061153270854,0.006455360585752138,0.9107872018853908,0.006655114095749231
ablation,rhd,rhd,rhd,E2,fusion,21,False,1.0,1.0,2.0,10.0,4.0,5,5,0.31054896364463735,0.010608820246076251,0.08732635365538499,0.005585775315456446,0.911043369111356,0.006704919621792588
ablation,rhd,rhd,rhd,E2,fusion,21,True,1.0,1.0,2.0,10.0,4.0,5,5,0.15137120392665135,0.0060655111061525225,0.08235115017695938,0.003410975103505276,0.9102822797037673,0.007096254962926443
ablation,rhd,rhd,rhd,E2,heatmap,21,False,1.0,1.0,2.0,10.0,4.0,5,5,0.32635061709412383,0.0804670354656993,0.08139846437848378,0.013066100687761952,0.9393805876476163,0.006797912721023088
ablation,rhd,rhd,rhd,L1,coord,21,False,1.5,0.5,2.0,10.0,2.0,5,5,0.3611799785992966,0.052780224126237174,0.0733274367835448,0.011505760357639462,0.9080820759791992,0.009184647169772872
ablation,rhd,rhd,rhd,L1,fusion,21,False,1.5,0.5,2.0,10.0,2.0,5,5,0.35834798101455934,0.053399371618810546,0.07246053892926616,0.009581867453165088,0.9080820759791992,0.009213555615911322
ablation,rhd,rhd,rhd,L1,fusion,21,True,1.5,0.5,2.0,10.0,2.0,5,5,0.17571927997723352,0.025189094409356252,0.07193640428153923,0.007193774557256846,0.906686701728024,0.009148831397422523
ablation,rhd,rhd,rhd,L1,heatmap,21,False,1.5,0.5,2.0,10.0,2.0,5,5,0.2890648698527093,0.03043995015541032,0.08434853019121194,0.013237857348124264,0.941358198632067,0.006748351079000832
ablation,rhd,rhd,rhd,L2,coord,21,False,0.5,1.5,2.0,10.0,2.0,5,5,0.3098042125401259,0.02712179820663837,0.0817442831563257,0.004268659104400646,0.9115147168071317,0.009772442249197287
ablation,rhd,rhd,rhd,L2,fusion,21,False,0.5,1.5,2.0,10.0,2.0,5,5,0.30738492024259484,0.02601119118936697,0.08117347266014004,0.002167815900686956,0.9114891000845352,0.00952272849736664
ablation,rhd,rhd,rhd,L2,fusion,21,True,0.5,1.5,2.0,10.0,2.0,5,5,0.1495507693885009,0.013058900441291401,0.07891730127051062,0.0010318467461984994,0.9102930127723516,0.009975808431825479
ablation,rhd,rhd,rhd,L2,heatmap,21,False,0.5,1.5,2.0,10.0,2.0,5,5,0.5708399076965198,0.4057343279522704,0.10782214836876762,0.024527234612324884,0.8909803519737686,0.07974883480692706
