experiment_family,training_sequence,train_dataset_name,eval_dataset_name,experiment_id,prediction_mode,shared_10_eval,train_num_keypoints,eval_num_keypoints,train_hand,train_input_size,tips_bases_only,lambda_hm,lambda_coord,heatmap_sigma,wing_w,wing_epsilon,n,num_seeds,metrics.sse_norm_mean,metrics.sse_norm_std,metrics.epe_norm_mean,metrics.epe_norm_std,metrics.pck_mean,metrics.pck_std,metrics.timing.ms_per_image_mean,metrics.timing.ms_per_image_std,metrics.timing.images_per_second_mean,metrics.timing.images_per_second_std
ablation,rhd,rhd,rhd,S2,fusion,True,21,10,right,256,False,1.0,1.0,3.0,10.0,2.0,5,5,0.15343937783821587,0.022229831973069884,0.07987064680111974,0.004974945019359529,0.9163893957282386,0.006841331500918056,0.8117373827899481,0.0027621791535858654,1231.9369086639333,4.1824043091041965
ablation,rhd,rhd,rhd,S2,heatmap,False,21,21,right,256,False,1.0,1.0,3.0,10.0,2.0,5,5,0.2739600049785155,0.06484644697562784,0.08061280772252188,0.01311875309888034,0.9466096267643518,0.013236676410023702,0.7965329133214489,0.003510667907402444,1255.460336358728,5.511543872882034
ablation,rhd,rhd,rhd,W1,coord,False,21,21,right,256,False,1.0,1.0,2.0,5.0,2.0,5,5,0.3247392710964701,0.037777190416565375,0.07475289300495988,0.0059064208756458205,0.9150447011809308,0.010042875926912083,0.7860667359007418,0.002946536196946217,1272.1709417886104,4.7766972866239
ablation,rhd,rhd,rhd,W1,fusion,False,21,21,right,256,False,1.0,1.0,2.0,5.0,2.0,5,5,0.321253542082051,0.038438763485391436,0.07370257575629746,0.00580593433955923,0.9149934677357379,0.009856058570416831,0.8131038667934556,0.0021354067072251776,1229.861962163623,3.229521291470796
ablation,rhd,rhd,rhd,W1,fusion,True,21,10,right,256,False,1.0,1.0,2.0,5.0,2.0,5,5,0.15645055707074332,0.016866224493835947,0.0720505077132368,0.003884512694799833,0.9140388537082751,0.010044842010027014,0.8109469319040998,0.0015559890503455325,1233.1299524914218,2.3711714549985374
ablation,rhd,rhd,rhd,W1,heatmap,False,21,21,right,256,False,1.0,1.0,2.0,5.0,2.0,5,5,0.2870216969302323,0.07825260974782484,0.09569696137677738,0.04803278605887019,0.9434075364397879,0.006456212026245556,0.7966406654315261,0.0019785476106530956,1255.2772796869672,3.113014439572667
ablation,rhd,rhd,rhd,W2,coord,False,21,21,right,256,False,1.0,1.0,2.0,15.0,2.0,5,5,0.300268144883718,0.04386325672608423,0.07526910698163136,0.0028027647478533514,0.9141276225119759,0.012327066623322553,0.7846402599752125,0.0021046740080013816,1274.476713381097,3.4089158463053977
ablation,rhd,rhd,rhd,W2,fusion,False,21,21,right,256,False,1.0,1.0,2.0,15.0,2.0,5,5,0.297871848285373,0.04414353437499452,0.07499327844419963,0.0031314156084780945,0.9140097855880318,0.012354743740278841,0.8119399438112362,0.0031026873368273865,1231.6325257037745,4.690997961446262
ablation,rhd,rhd,rhd,W2,fusion,True,21,10,right,256,False,1.0,1.0,2.0,15.0,2.0,5,5,0.14565375538165967,0.02100108296684241,0.07546497664124564,0.002424307487971896,0.9124718256949661,0.01161560283168688,0.8105743212128316,0.0019024518043912555,1233.6985894086297,2.8888361109957033
ablation,rhd,rhd,rhd,W2,heatmap,False,21,21,right,256,False,1.0,1.0,2.0,15.0,2.0,5,5,0.36314359177067834,0.22647647439212049,0.09219206902758308,0.022284938618148634,0.9229910085303686,0.04288145785614218,0.7962951701560502,0.0017080045157467979,1255.820356820009,2.6966579932199934
